start	end	text
3093040	3098240	those photos can be taken from other places like getting images or other places
3098240	3103680	images like that are you suggesting that you're using the same exact nature right yeah that's what i was
3103680	3104720	thinking too yeah
3104720	3111520	okay so there might still be a a good enough reason
3111520	3123680	to have our own at least nature images that are are regularly not regularly but at least are used for a regular context
3123680	3124800	yeah
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3124800
3124800	3142640	do we okay so for the pocket calendar we almost would never use anything other than nature
3142640	3155040	nature nature
3161120	3167200	yeah i mean i could see us using like um if you're talking about um the water baptism
3167200	3173280	um those types of photos maybe we would use those um but i guess it just depends on the verse right
3173920	3174160	yeah
3176400	3179200	so far all of them is like very nature-y
3179200	3181360	all yeah yeah
3186960	3191680	yeah the i guess going back to my original suggestion i'm just wondering like how
3191680	3200160	big do we want the stock media system to be oh the bigger the more the pay
3202000	3202240	yeah
3205600	3207280	i feel like that might be one of the
3210640	3212560	potential blocker we have to do
3215520	3221440	i don't know if there's a way to limit this but um like say for example flowers we already have like
3221440	3227360	a lot of flower photos like can is it possible to
3229600	3235280	somehow limit the amount of people contributing to that particular photo
3240000	3246880	like for every nature photo two or three church photos or something yeah
3246880	3252240	yeah i don't know yeah request to the uh to annabelle
3254400	3258400	yeah because it doesn't go through admin to review right can admin just
3259120	3267120	be like oh like not review or not accept it because they're already a lot of a certain type of photo
3267120	3276400	yeah i think i think that is probably possible but it sounds like there's like two things going on so
3276400	3283760	like hailey and enoch are building the system and it sounds like we also need content managers to work
3283760	3289280	within the system so it's kind of like two different teams and we haven't really talked about the content
3289280	3296400	side yet because i think they don't really have a clear idea yet of what information to include
3296400	3301280	because we haven't like we haven't told them because i think we don't even really know ourselves we have
3301280	3305200	to make those decisions right that's like what i'm kind of getting out of it
3305200	3317200	yeah i think nobody knows i've thought through this enough um to really know the full picture um but
3318320	3324480	this is part of our discovery process right it's going through this um to see what is even possible
3324480	3330000	and then right and then now these questions pop up like we need to address these questions
3330000	3336080	um yeah to be fair if you really wanted to and if you like trust the people uploading them enough
3336080	3341440	then you can just like kind of give them like open access but holly and i were just kind of a little
3341440	3349280	iffy on open access because as you know sometimes people um may just like overlook stuff or uh just
3349280	3353520	stuff happens right so that's why we're just like thinking about requests only but if you really trust
3353520	3359760	people we can also skip the whole approval process if you really need it yeah i think um
3360000	3369200	right we did mention by default joanna would be the content approver and if she needs to involve
3369200	3374800	other people um if there's too much work i think she can build a team right but at the very least
3376160	3381040	as a project manager i guess she would be hopefully our default approver
3390000	3404640	um and it might yeah i don't know how much we can control who the contributors are um is it right is
3404640	3410640	it possible to set it up that like basically you need to have an account to be able to submit yeah yeah
3410640	3417920	uh i just try like you need to log in so you can submit like we can trace back like whoever did it is so
3417920	3425360	if you want like more you can just uh maybe we can have some specific code like access code like
3426480	3438640	uh sign up codes distributed maybe by ga usga or different churches so you just go to the council and like you can get the uh sign up uh code for that
3438640	3452640	so otherwise you cannot sign up okay you can only view and view like as a viewer and you can never be a contributor unless you get access code
3452640	3460320	uh okay that's what we did before for up like a beta yeah a beta version
3462320	3467760	yeah the files also tell you who's uploaded them so if you ask if you tell people to use their real name
3467760	3472320	or like their church and their real name then you should be able to like track down who contributed to
3472320	3482480	the photos pretty easily um joanna i think like if we only open the contribution access to the people who
3483440	3492000	are regularly right contributing like for example right chris chen or could just stand like would we give them
3492000	3500240	access um so even if they continue to load new nature photos we probably wouldn't be too concerned about them
3501280	3509760	uploading too many right yeah i don't see that there's people like regularly um contributing to
3509760	3520080	the google photos right now um but i know previously we talked about like the mvp um is it
3521040	3526480	like the graphic design team or the one of the teams they all have access to
3526480	3534960	the google library to the google photos library yeah so they would be the viewer then right they're not
3534960	3541360	necessarily contributing and then maybe at the end of every mvp workshop um the team lead can
3541360	3549680	uh only upload the photos that yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah
3549680	3554160	yeah i think it would be possible if it's just the team lead that uploads it
3554160	3561760	and i think so far that has been more or less the case right when they uploaded to the google photo
3561760	3569040	account um that the team needs to be the one to make sure i see i don't know exactly what happened
3569040	3576080	last year during mvp because i shared the um folder with annabelle but i don't know if she gave direct
3576080	3583280	access to that folder to all the team members or it was just her who did it yeah okay okay i guess
3583280	3588960	regardless at the end she could still be the person to go through and delete the photos that probably
3588960	3594960	don't need to be in there and then right and then remove access from all the participants by that point
3595600	3603360	and then um because the way it is right now is some of the ex-participant or previous
3603360	3609280	participant that continue to take a lot of good photos and want to contribute more after that mvp
3610240	3619520	then that's when we create these specific folders for them like chris uh um paulina right probably not
3620560	3626880	yeah i think it's just in the year 2021 whoever the team meet was just created individual folders for
3626880	3633040	all right but i think it probably should have been just like an mvp 2021 and it would just combine all
3633040	3642080	those into one similar to like how it's already combined into the mvp yeah
3646080	3654720	i had a question about the naming um system that we were talking about before is it very tedious to name
3654720	3662640	every photo say like the team lead has to upload 200 some photos each would they have to go in one by one
3662640	3665520	to like label everything right it's auto generated
3667360	3668560	auto generated okay
3670800	3675600	i guess like if you wanted to change parts of the name you would have to do that one by one right
3675600	3687600	like we can do like some bulk upload like you can just apply like let's say bible to these photos you
3687600	3697120	just upload the something like you can do like a whole folder or you can do like this specific ones
3697120	3707280	if you can do like select and these these photos need to add well it's much more complicated but we can try
3709040	3714800	i see oh okay like you can just create your like first you can create a folder and then you can just
3714800	3720880	bulk upload like buy different things you want to upload to this and then you add the same
3720880	3725200	elements to this this folder if photos you want to upload
3727920	3733680	i see sorry just to add on real quick um since the photographers also will need to put the
3733680	3737200	photos onto their computer first before they can upload to resource space
3737840	3743120	um if you really need to we could also try providing like some sort of custom script to make
3743120	3747920	like automating that easier right so for example it would be like oh like what do you want to name
3747920	3752800	this group of photos right and then like oh how many images do you want to upload right and it would
3752800	3757280	just sequentially go through them and then you can just name them something generic for example right
3757280	3761520	so you can just that way you can just say oh you know date is going to be this and then um some sort
3761520	3768000	of topic here right and then sequential and then you just just mass bulk um rename them there should be
3768000	3773360	like features for that just natively built into the computers i think that would be helpful
3773360	3777600	yeah yeah so if that's like a real concern then we can look into that in the future as well
3782080	3789200	and then just on resource space is it possible to like on the um home page is it possible to search up
3789920	3793120	by contributor like say a contributor wants to okay
3803360	3817520	um i think i read somewhere that professional stock photographers spend um up to half of their work
3817520	3824960	time tagging and sorting and keywording so that it is a big part of it
3824960	3836240	uh jackie the two things that you just shared the first one is it just to show us that we can get
3836240	3843280	like these kind of photos pretty easily yes i just wanted to uh share what it kind of looks like
3843280	3853360	from pexels it does say it's free to use oh okay and then for canva because we have access to um
3853360	3862080	um we have access to i guess they're non-free photos those were the terms so basically uh it does say in
3862080	3869280	the terms that we have access to it in perpetuate forever perpetuity perpetuity
3871360	3877200	yeah so if they do swap it out with something else or they take it off we still once we have taken
3877200	3884720	like use that photo we can use it forever um just there's some limits like we don't want to we can't
3884720	3895600	use it uh within the logo like there's just no okay like for our uses um i don't think we would encounter
3895600	3903840	that right like social media posts and pocket calendars right right yeah yeah and they say like you can't
3903840	3911440	um like just use the image without um modify without like putting something on top of it or like
3911440	3917840	you can't like print it and sell it as your own artwork right right okay
3921840	3926000	um i'll wait if you let me share my screen i can show the uh check which contributor
3926000	3945680	uh yeah so um yeah i didn't do that extensively as holly did so everything's contributed by admin user
3946400	3952400	which is me so if you go to so sorry so again base resource space right the search box on the right
3952400	3957840	and you go to advanced search you go all the way down and you search for who contributed like just
3957840	3965360	type in admin that user will pop up right yeah so you can check by which contributors there are you
3965360	3973040	just need to set up the contributors of course yeah sorry just answer the question about the contributors
3973040	3988480	um you also had a question about howie's version um for i think it was one of the pages with the tabs
3988480	3996160	one through five on the fourth step it was like usage scope um and there are different options does that change
3996160	4003680	how the photos are categorized or organized um if you click a certain one or what's the purpose of that
4006880	4013840	like do you mean this like upload here yeah the usage scope um number four
4015280	4015600	uh
4015600	4028720	like you can just i mean these are ai but there is a reason why they're here maybe so um
4031440	4039760	so like you can just be more specific on this maybe like when you go to the filter on the library
4039760	4050080	and you want to do like uh print you select print or these print like tags they just come up
4052720	4059760	so it doesn't change like the way that the photos are organized at all no like this is just actress
4059760	4073760	i see yeah i still need to watch more other good videos on this okay
4073760	4088160	so um
4088880	4095680	do you know how did you come up with your version is it just you didn't use a link to build it you just
4095680	4100560	like pull whatever it is uh it's a like ready version
4100560	4106320	yeah sorry my version is how it looks like straight out of the box so if everybody just goes to the
4106320	4110400	resource space and then like follows instructions and it gets running a computer it will look like mine
4110400	4118560	essentially yeah yeah so that's why like that i think the budget is almost like no customization at
4118560	4123680	all it's basically like it works pretty well out of the blocks to be honest yeah
4130560	4137040	okay i don't know
4142000	4148800	if we if we want to write um implement this we have to we have to be able to manage it right
4148800	4150640	for the next 20 years
4150640	4157680	so let's see how do we do that let me ask
4160400	4164400	all right thank you like a little bit more specific on what you mean by manage like is there any specific
4164400	4169520	aspect um right to bring up yeah like that's a company like ultimately add
4170480	4174080	need like additional i'm sorry add additional
4175280	4179040	fields like data yeah yeah that's that's pretty easy um
4183760	4191520	yeah it will be much better maybe like right now i do it for a month maybe i can just do it one one one
4191520	4199760	day it's only gonna be more powerful like you can just talk what you want they will just
4201920	4205920	do everything and they will look like this much better
4209360	4211920	and this is even for like six years ago
4215280	4219200	yeah and then uh base resource space if you want to add more fields it's also pretty easy
4219200	4225760	um you can just go into the menus and it has yeah it's it's like built-in feature to add more fields
4225760	4230480	and then uh determine if it's going to be like necessary and what like what you want the field to
4230480	4239600	specifically be yeah
4239600	4248160	um
4248160	4254400	yeah yeah so if you guys want to like come up with some more questions too um for holly and i then maybe
4254400	4260800	we can try to answer them and then maybe that can help refine what our true like purpose will be like
4260800	4264560	going forward we can narrow it down to search a little if you guys want
4267280	4274000	yeah do you know what do you think um i think ultimately like we probably will still be there
4275280	4281760	right with still be the project manager um and maybe you can comment on that
4281760	4291520	um i just think the bottom line is if it's user friendly for everyone because not everyone is super
4293280	4305280	tech savvy um so i feel like as long as contributors can easily um contribute to this and um do it some
4305280	4313840	like um like um on their own accord i think that would be the most important and then also um like
4313840	4321520	how it's organized like the tags the naming system everything that's easy to find um i think that's also
4321520	4322240	important too
4322240	4333600	yeah that's why i like i spend time on this like i just want to make it much easier right now the the
4333600	4345840	the one i'm doing is uh i would say it's very like the layout is not good enough not like very
4345840	4354480	user friendly or like because we all we want just some people just upload and let's call it a day that's
4354480	4361120	it and they want to find something that's the most important things that's why i want to see resource
4361120	4364800	space no this is so hard
4368000	4371120	yeah i think either way we're also gonna have to create like a walkthrough of any story
4371120	4374640	clear especially if they have like naming conventions or anything we're probably already gonna have to
4374640	4380000	make a walkthrough so we can probably just add that just want to make everything easy
4382800	4389840	yeah i think what would be helpful is maybe like coming up with like an inch page of instructions
4390640	4399200	of how to upload and like a naming system um that might be helpful yeah like i'll just make it as easy
4399200	4404640	as like you use google photos google drives you just upload everything and right yeah you can just
4404640	4412240	search up things that's the ultimate goal i think for most of people like we can be more much much work
4412240	4415280	but the users just make it easy easy easy
4420160	4423360	yeah in terms of like the maintenance side i'm not sure if that would be
4423360	4435040	um for you guys to maintain or yeah oh um it's just about price maybe like yeah i can do it maybe
4436240	4438800	let's see if it's in the future
4441680	4445360	yeah that's why we made some of the choices we did so we don't have like tech that in the field
4445360	4449040	sorry tech that is basically like just choosing something that works now instead of planning ahead
4449040	4452480	right like we're also trying to like plan ahead that's why we're like thinking about like vocal hosting
4452480	4454480	um
4454480	4456480	um
4475760	4468480	um
4475760	4484240	um jackie do you have any recommendation on where to go from here yeah actually i was thinking about that
4484240	4491040	um i was so wondering do you think it's time to also involve anabella too um because she's uh pretty
4491040	4500400	active in the in the i guess like the content of this project um i'm wondering if we can
4501840	4507920	remember how we were talking about doing like a limited version like just using the previous year's mvp
4507920	4514720	um to test it was that what um the photos were already limited to in the presentation of the
4514720	4522320	um you know the demo from today were those the photos only from mvp 2020 something six five 2025.
4522320	4530960	yeah we did talk about using is it mvp 24 right oh 24 okay
4533920	4544960	um so like for that those content i think what's kind of missing possibly is like um like the information
4544960	4556160	of the of those photos are not in the they're not in the um the mock-up that um hailey and enoch built
4556160	4561280	so we can't really tell what's going on and also they don't really know what to name it so i think
4561280	4568640	that information might need to come from the content managing side um but if we can just limit it to
4568640	4575760	however photos those were i don't remember if it was like 200 or 50. um that might be a good way to
4575760	4582800	test it to see like how user friendly it is without taking up a lot of people's time i'm wondering
4582800	4592560	because i think ultimately one of the goals was to categorize the photos um but that may not have been
4592560	4599840	possible with this intern group because they don't really know what the content might be that would
4599840	4606960	have had to come from the content manager side which would happen and i don't know that that's what
4606960	4612400	i'm thinking it's not like fully formed but i don't know if anybody can expand on that
4612400	4628480	um yeah so joanna and nfl are in that same project and managers group um the i think nfl's role so far
4628480	4639280	has been um actually apart from the project managers and that she was a team lead for the graphic graphic
4639280	4650800	design and user experience design um team it's just that usually that team produces a lot of the stock photos
4650800	4659760	that get fed into the overall stock basically the stock media library that joanna is the project
4659760	4677280	that's right because like pastor sam also contributes to right yeah and some other non-mvp participants
4677280	4684000	of the past like you know chris chen jerry kong like those people who are very into taking photographs
4684000	4689920	um um they have been they have at least had one point to do quite a number of colors
4693040	4701280	yeah so i think yeah maybe we could um i don't know if somehow okay if we don't want to involve
4701280	4708160	animal yet if somehow joanna is able to like use their product somehow i'm not sure how
4708160	4715680	we could do that um and then like give her feedback on whether this is the route we can go because i i'm
4715680	4722240	not the i'm not the one who will make the decision so i'm not exactly sure what we want
4726240	4732480	yeah yeah it's sorry yeah go ahead i was just wondering is there something that i could try out this
4732480	4737520	like uploading a photo or like uploading the past photos
4741520	4745680	yeah that's one of the things we're talking about because right now um yeah so as you can see my
4745680	4749120	version is completely different from holly's version right and that's because we're both running on our
4749120	4752720	local own separate versions right so that's one of the issues we're talking about where we might
4753360	4758640	probably need something like that cloudflare domain so everybody can connect to it something like that
4758640	4763280	using like a url type of thing yeah yeah like a centralized source because otherwise it's all
4763280	4770640	local and you guys can't touch any of that right yeah oh i'm sorry and then yeah then holly and i
4770640	4775760	didn't want to centralize too fast because again that way if we just need to abandon the project there's
4775760	4787840	no harm done basically is there um are we at a point yet to decide on one of the um platforms um so
4787840	4791280	either holly's or enoch so that you can work together
4794400	4799840	sorry to be clear um yeah holly's version just builds on the original base version my version is
4799840	4804560	not really my version it's literally just the standard default like i haven't done any customization work
4804560	4810240	to it holly's is just like uh that way so if you want to think of it like my face my version is
4810240	4814240	basically just my face right but holly's version is kind of like the makeup on the face it just builds
4814240	4821520	on it essentially so it's like the same thing oh okay all right so you are you are working on the
4821520	4828320	same thing uh well technically holly's doing most of the work on that side to be real because again
4828320	4834320	like it's a local version right so i can't touch the work he does basically that's right yeah is what
4834320	4843280	you're doing huge enough where it cannot be done like on a free um i don't know like a free post like
4843280	4850320	you know some some of them they have like trial posting i don't know um i don't know very much about
4850320	4860960	web hosting oh i if you want i maybe can do it like on answer but more ideally it's oracle but same thing so
4860960	4867600	if you want to play around i mean i can get it down like you can play around with it but
4868720	4874240	yeah like when it's scope is big enough or like let's get a bit to you like in the future you just
4874240	4881280	need to make it somewhere else but right now yeah that's what i'm trying to do i i i just want to get
4881280	4890000	it uh everyone can just trying to upload things but every time yeah i just say okay it's done
4890800	4896640	i just tell you to review and just come keep coming going back and something i have to fix all the
4896640	4903440	things and i just have to wait and just pointing out another bug and it has to figure it fix again
4904800	4912960	but yeah if you want we can get it somewhere on like you i put in a chat like it's a website but i think it's
4912960	4925760	older one oh no oh yeah okay can you um can you i'm gonna paste this into our google chat meeting i don't
4925760	4936800	[REDACTED credential discussion] so this was like pretty old maybe last
4936800	4944240	i don't know if you want to do it but i don't know if you want to do it but i can update this so
4944240	4956720	the [REDACTED-CREDENTIAL-LIKE-TEXT] is for uh i mean i do not remember other credential-like values oh okay so joanna can
4956720	4964720	use this to try it out uh no this is just a shell oh that's what i was trying to figure out like
4964720	4974400	hosting somewhere else so like azure virtual machine so we can really link both things together and yeah
4975760	4982480	okay i'm gonna say something that i don't think anybody wants to hear but it kind of sounds like
4982480	4989840	like there is a high possibility that there's going to be a lot of maintenance required on this um
4989840	4996240	project that people who do not have a cs background really cannot do so like um
4996960	5007120	heli what you're doing with giving ai the tasks to do um without this kind of background like you
5007120	5013040	have it like if someone hasn't gone through the steps and learned about dam and all of that like
5013040	5020400	how you and enoch have been learning about it um the past few weeks they will not be able to um maintain
5020400	5027840	the bugs and things like that because i know that for joseph his full-time job is basically debugging
5027840	5038080	or something like that so i'm i think i'm suspecting that it may be too complicated that is
5044800	5051120	sorry uh yeah just as quick uh clarification uh do you mean like ai in terms of like for the photos and
5051120	5056160	stuff because um the i just speeds it up like you don't have to use the air at all if you're not
5056160	5060320	contributing that many photos if you contribute say like 50 you can just upload like like 10 at a time
5060320	5064800	for example and you can manually go through and then like add the tags yourself so on the user side when
5064800	5069840	it's all done like there shouldn't be that many issues the flow should be pretty good right like you
5069840	5075280	just like rename the photo or you rename the file on your own computer and then you upload it and then
5075280	5081200	you just like select all the tags and then you should like be pretty good there's like maybe one or two
5081200	5086320	more steps beyond that but it shouldn't be like super complicated on the user end it's just a little
5086320	5090720	bit more complicated for us because we're working like the back end like maintenance and then setting
5090720	5096320	up kind of end so yeah hopefully the end goal shouldn't be like that bad sorry just does that clarify
5096320	5102720	anything or oh yeah yeah absolutely yeah yeah i was actually concerned about no i think the way that you
5102720	5111280	set it up for the user is pretty brilliant it's like very all-encompassing and um i think the way that
5111280	5117120	you do it is very thorough and i i'm just concerned about the back end maintenance part because once you
5117120	5125360	set it up something might fail eventually and like if yeah that's just what i'm concerned about but of
5125360	5132320	course like yeah please prove me wrong that would be great um but it's yeah so how how can we get to
5132320	5140000	a point where joanna can try out um like with a limited number of photos to for her to manage and
5140560	5150320	she can let us know yeah i would try that and when i get it done i will just share it and okay chat
5150320	5160960	is that going to be a lot of work i'll just ask ai to just click something click click click and i just
5160960	5171600	build a review and okay continue okay create okay yeah it's just ai using your uh safari chrome and
5172160	5175200	in the end you just click that payment ish thing
5175200	5182160	what payment ish no no no no not payment because we got like azure student credits or
5183120	5189040	they're small enough like we don't need to pay just like ai will keep the last one for you to like
5189600	5195920	confirm sorry you mean a lot of work to set up or a lot of work for joanna to add the photos
5195920	5202000	because there are two different things no the the to set up the thing for joanna to use not sure it's
5202000	5214080	just a few like platforms oh okay that's what i think we might do is that okay yeah that's what i
5214080	5222320	was trying to do last week that's why i bring this because i was trying to use oric of it didn't work
5222320	5231680	oh okay okay yeah i definitely learned a lot like from this whole project and so it was like whoa all
5231680	5239920	this information it's really cool yeah um yeah i don't i don't have anything else um if that's okay
5239920	5248640	for the for the plan if everyone is okay with that we can set that up okay yeah
5252000	5258880	okay so we'll wait for a text or a message from holly and enoch and then um joanna will take a look
5258880	5266000	at that and then after that joanna let us know so do we want to set a follow-up meeting or yeah we
5266000	5281040	probably should um sorry what did you say oh yeah go ahead yeah we can uh okay so what would we want
5281040	5287200	to do a week from now and then also i forget um holly and enoch when is your last day as intern for the
5287200	5295200	internship workshop oh the workshop right okay so the the week of the sixth and seventh it would be like
5295200	5304640	the last week right um would the would next tuesday be too early for a follow-up oh no no no no no no
5304640	5311680	no okay so that depends on joanna too would you have enough time like if they give you the link by i
5311680	5316160	don't know like friday or so would that be enough time for you to work um take a look over it over the
5316160	5325680	weekend um this weekend yeah oh it's father's day this weekend yeah
5328560	5336800	it'll be as easy as you just upload some photos and yeah like you do uh like google drive
5339280	5343920	yeah it should be fine i i might not be available saturday sunday but i could do
5343920	5351360	do it monday or whatever you send it okay okay yeah then um yeah maybe we can aim for next week at the
5351360	5358400	same time um sorry
5362080	5363920	oh never mind okay uh
5363920	5372800	uh sorry i can't see my full screen because the google meeting is in the way um okay i'm looking at
5372800	5378560	today and this week okay so what month uh would
5378560	5388640	uh would like 11 o'clock or 11 30 be okay on tuesday
5393840	5395840	yeah 11 to 12
5397280	5402400	oh 11 to 12 okay yeah okay great yeah looks like everyone is okay with that so we'll schedule it for
5402400	5409280	next week at 11. um okay yeah i'm pretty excited to hear what joanna has to say next week
5410880	5417280	uh thank god it it's really really impressive like what you're able to get ai to do and also kind of
5417280	5427360	like satisfying to hear that ai doesn't work all that well sometimes but um but yeah it's very impressive
5427360	5434960	um i've learned a lot so thank god um that we could be part of this discovery process and kind of like
5434960	5441200	figure out what we need to know what we don't know yet um yeah and i think we can conclude here
5445440	5448560	okay thank god all right uh see you all next week at u11 then
5448560	5462560	okay
5468000	5470000	you
